,Year of manufacture,Kilometer,Previous owners,Horsepower,Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (£)
511,1958,65129,1,115,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,126183
512,1975,23382,1,44,1483,4,6,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,47863
513,1970,219000,2,125,2195,6,2,Left (LHD),Semi-Automatic,4,Rear,Disc,Disc,Petrol,102252
514,2023,161,1,530,4395,8,5,Right (RHD),Automatic,8,4WD,Disc,Disc,Petrol,240000
515,2016,54235,2,632,6592,12,2,Right (RHD),Automatic,8,Rear,Disc,Disc,Petrol,170000
516,2012,12500,1,560,5204,10,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,127837
517,2012,9900,1,661,4935,8,2,Left (LHD),Manual,7,Rear,Disc,Disc,Petrol,251496
518,1983,82469,6,231,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,36985
519,1986,124,6,33,602,2,4,Left (LHD),Manual,4,Front,Drum,Drum,Petrol,36985
520,1964,3442,6,75,1600,4,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,86588
521,1957,12400,2,105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,112695
522,1970,1200,5,180,2195,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,248016
523,1976,80756,6,260,2994,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,130491
524,1972,36434,6,140,2341,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,117046
525,1961,27738,3,112,1570,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,53954
526,1998,74133,6,485,5473,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,110954
527,1954,24062,5,110,2660,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,95290
528,2006,25265,2,265,2996,6,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,29007
529,1981,74253,2,90,2307,4,3,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,43042
530,1966,4600,2,44,1493,4,5,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,59089
531,2000,33000,2,204,2792,6,5,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,14707
532,2020,2,1,220,1798,4,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,58044
533,1981,121500,2,204,2994,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,64832
534,1986,27198,1,390,4943,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,139995
535,1985,97000,2,295,5343,12,4,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,17231
536,1977,62033,1,63,1798,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,28282
537,1980,176978,6,204,2994,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,54389
538,1980,109748,6,205,2926,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,67443
539,1971,155883,6,370,8200,8,2,Left (LHD),Automatic,3,Front,Disc,Drum,Petrol,33895
540,2004,52500,1,420,5935,12,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,93550
541,1972,73971,1,44,1285,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,26020
542,2007,150000,1,122,2498,5,2,Left (LHD),Manual,5,4WD,Disc,Disc,Diesel,23931
543,1965,73971,6,120,2195,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,76145
544,1960,18898,3,105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,91287
